Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation  [sfc];
2018;2;12;0;0;2.93;71.00;0.00;
2018;2;12;1;0;2.68;68.00;0.00;
2018;2;12;2;0;2.54;70.00;0.00;
2018;2;12;3;0;2.45;72.00;0.00;
2018;2;12;4;0;2.32;75.00;0.00;
2018;2;12;5;0;2.04;79.00;0.00;
2018;2;12;6;0;1.58;82.00;0.00;
2018;2;12;7;0;0.44;85.00;0.00;
2018;2;12;8;0;-0.09;91.00;0.00;
2018;2;12;9;0;1.75;77.00;0.00;
2018;2;12;10;0;4.62;53.00;0.00;
2018;2;12;11;0;6.82;37.00;0.00;
2018;2;12;12;0;7.97;34.00;0.00;
2018;2;12;13;0;9.92;48.00;0.00;
2018;2;12;14;0;9.19;35.00;0.00;
2018;2;12;15;0;9.30;23.00;0.00;
2018;2;12;16;0;8.67;24.00;0.00;
2018;2;12;17;0;7.45;24.00;0.00;
2018;2;12;18;0;4.58;29.00;0.00;
2018;2;12;19;0;2.77;30.00;0.00;
2018;2;12;20;0;1.82;31.00;0.00;
2018;2;12;21;0;0.92;38.00;0.00;
2018;2;12;22;0;0.40;35.00;0.00;
2018;2;12;23;0;-0.67;42.00;0.00;
2018;2;13;0;0;-1.31;45.00;0.00;
2018;2;13;1;0;-1.34;37.00;0.00;
2018;2;13;2;0;-1.13;29.00;0.00;
2018;2;13;3;0;-1.15;28.00;0.00;
2018;2;13;4;0;-1.51;28.00;0.00;
2018;2;13;5;0;-1.70;29.00;0.00;
2018;2;13;6;0;-1.89;30.00;0.00;
2018;2;13;7;0;-2.10;30.00;0.00;
2018;2;13;8;0;-1.95;32.00;0.00;
2018;2;13;9;0;0.36;32.00;0.00;
2018;2;13;10;0;2.57;24.00;0.00;
2018;2;13;11;0;4.61;24.00;0.00;
2018;2;13;12;0;5.52;24.00;0.00;
2018;2;13;13;0;5.28;25.00;0.00;
2018;2;13;14;0;5.84;24.00;0.00;
2018;2;13;15;0;6.06;24.00;0.00;
2018;2;13;16;0;6.02;24.00;0.00;
2018;2;13;17;0;5.65;25.00;0.00;
2018;2;13;18;0;5.02;27.00;0.00;
2018;2;13;19;0;4.54;33.00;0.00;
2018;2;13;20;0;3.85;39.00;0.00;
2018;2;13;21;0;3.47;44.00;0.00;
2018;2;13;22;0;2.99;50.00;0.00;
2018;2;13;23;0;2.49;53.00;0.00;
2018;2;14;0;0;1.73;55.00;0.00;
2018;2;14;1;0;1.39;58.00;0.00;
